run      name                                   ped   pedrms        led   ledrms  rms/led   flags
01107039 EN023_r02c02_Dep00Ch00_F20/0/00/3    94.10     0.65    1296.00    53.33   0.0026   0   Good 
01107039 EN024_r02c03_Dep00Ch01_F20/0/01/2    41.98     0.63    1176.60    44.01  -0.0051   0   Good 
01107039 EN025_r02c04_Dep00Ch02_F20/0/01/3    66.40     0.63    1426.20    44.78  -0.0037   0   Good 
01107039 EN026_r02c05_Dep00Ch03_F20/0/02/2    61.39     0.66    1407.00    53.92   0.0028   0   Good 
01107039 EN045_r03c02_Dep00Ch04_F00/0/00/1  3619.53     0.44      30.00     0.00  -1.6667   5   Ped Led 
01107039 EN046_r03c03_Dep00Ch05_F00/0/01/0    57.51     0.66    1335.00    53.24   0.0024   0   Good 
01107039 EN047_r03c04_Dep00Ch06_F00/0/01/1    33.48     0.63    1372.20    56.70   0.0049   0   Good 
01107039 EN048_r03c05_Dep00Ch07_F00/0/02/0    95.70     0.62    1431.60    54.01   0.0028   0   Good 
01107039 EN067_r04c02_Dep00Ch08_F00/0/00/3    66.55     0.62    1247.40    52.51   0.0020   0   Good 
01107039 EN068_r04c03_Dep00Ch09_F00/0/01/2    86.47     0.67    1371.60    46.88  -0.0023   0   Good 
01107039 EN069_r04c04_Dep00Ch10_F00/0/01/3    66.73     0.67    1673.40    54.26   0.0025   0   Good 
01107039 EN070_r04c05_Dep00Ch11_F00/0/02/2    52.48     0.67    1525.80    53.84   0.0025   0   Good 
01107039 EN089_r05c02_Dep00Ch12_F01/0/00/1    58.46     0.62    1716.60    64.56   0.0085   0   Good 
01107039 EN090_r05c03_Dep00Ch13_F01/0/01/0    50.68     0.65    1039.80    49.52  -0.0005   0   Good 
01107039 EN091_r05c04_Dep00Ch14_F01/0/01/1    62.48     0.69    1119.00    45.99  -0.0036   0   Good 
01107039 EN092_r05c05_Dep00Ch15_F01/0/02/0    60.08     0.64    1379.40    47.62  -0.0017   0   Good 
01107039 EN111_r06c02_Dep00Ch16_F01/0/00/3    93.72     0.63    1543.80    62.85   0.0083   0   Good 
01107039 EN112_r06c03_Dep00Ch17_F01/0/01/2    37.60     0.66    1025.40    44.17  -0.0057   0   Good 
01107039 EN113_r06c04_Dep00Ch18_F01/0/01/3    78.56     0.66    1060.80    49.02  -0.0009   0   Good 
01107039 EN114_r06c05_Dep00Ch19_F01/0/02/2    48.71     0.69    1409.40    51.26   0.0009   0   Good 
01107039 EN133_r07c02_Dep00Ch20_F22/0/00/1    49.88     0.67    1063.20    42.07  -0.0075   0   Good 
01107039 EN134_r07c03_Dep00Ch21_F22/0/01/0    66.26     0.67     918.00    39.80  -0.0111   0   Good 
01107039 EN135_r07c04_Dep00Ch22_F22/0/01/1    51.78     0.69    1128.00    41.13  -0.0079   0   Good 
01107039 EN136_r07c05_Dep00Ch23_F22/0/02/0    49.51     0.63    1207.20    47.83  -0.0018   0   Good 
01107039 EN155_r08c02_Dep00Ch24_F22/0/00/3    71.52     0.62     906.00    43.27  -0.0074   0   Good 
01107039 EN156_r08c03_Dep00Ch25_F22/0/01/2    53.84     0.61     853.20    42.49  -0.0088   0   Good 
01107039 EN157_r08c04_Dep00Ch26_F22/0/01/3    79.35     0.62     896.40    40.09  -0.0111   0   Good 
01107039 EN158_r08c05_Dep00Ch27_F22/0/02/2    52.67     0.69    1272.00    54.00   0.0031   0   Good 
01107039 EN177_r09c02_Dep00Ch28_F05/0/00/1    78.31     0.63     823.80    38.75  -0.0137   0   Good 
01107039 EN178_r09c03_Dep00Ch29_F05/0/01/0    65.47     0.62     863.40    38.79  -0.0130   0   Good 
01107039 EN179_r09c04_Dep00Ch30_F05/0/01/1    72.39     0.60    1014.00    45.69  -0.0042   0   Good 
01107039 EN180_r09c05_Dep00Ch31_F05/0/02/0    60.94     0.64    1220.40    47.03  -0.0024   0   Good 
01107039 EN027_r02c06_Dep01Ch00_F20/0/02/3    76.54     0.57    1158.00    45.69  -0.0037   0   Good 
01107039 EN028_r02c07_Dep01Ch01_F20/0/03/2    62.86     0.63     921.00    41.02  -0.0097   0   Good 
01107039 EN029_r02c08_Dep01Ch02_F20/0/03/3    84.77     0.64    1101.60    45.71  -0.0039   0   Good 
01107039 EN030_r02c09_Dep01Ch03_F20/0/04/2    44.69     0.64    1338.00    53.67   0.0027   0   Good 
01107039 EN049_r03c06_Dep01Ch04_F00/0/02/1    43.99     0.59    1515.00    54.58   0.0030   0   Good 
